"station","date","source","var","uni","val","qual","bswqstation","lbs","nrmrng","lbunis","inrng"
"19","2021-04-13","epchc","tp","mgl",0.121,"I","202","TP (mg/L)","0-0.397","(mg/L)","in range"
"21","2021-04-13","epchc","tp","mgl",0.134,"I","202","TP (mg/L)","0-0.397","(mg/L)","in range"
"22","2021-04-13","epchc","tp","mgl",0.489,NA,"361","TP (mg/L)","0-0.363","(mg/L)","above"
"23","2021-04-13","epchc","tp","mgl",0.116,"U","336","TP (mg/L)","0-0.473","(mg/L)","in range"
"24","2021-04-13","epchc","tp","mgl",0.203,"I","386","TP (mg/L)","0-0.383","(mg/L)","in range"
"84","2021-04-13","epchc","tp","mgl",0.148,"I","202","TP (mg/L)","0-0.397","(mg/L)","in range"
"90","2021-04-13","epchc","tp","mgl",0.572,NA,"361","TP (mg/L)","0-0.363","(mg/L)","above"
"91","2021-04-13","epchc","tp","mgl",0.116,"U","386","TP (mg/L)","0-0.383","(mg/L)","in range"
"16","2021-04-13","epchc","turb","ntu",1.7,"J","16","Turb (NTU)","0.84-2.96","(NTU)","in range"
"19","2021-04-13","epchc","turb","ntu",1.7,"J","19","Turb (NTU)","0.74-1.96","(NTU)","in range"
"21","2021-04-13","epchc","turb","ntu",1.4,"J","21","Turb (NTU)","0.75-2.47","(NTU)","in range"
"22","2021-04-13","epchc","turb","ntu",1.5,"J","22","Turb (NTU)","0.61-3.71","(NTU)","in range"
"23","2021-04-13","epchc","turb","ntu",1.2,"J","23","Turb (NTU)","0.72-2.48","(NTU)","in range"
"24","2021-04-13","epchc","turb","ntu",1.7,"J","24","Turb (NTU)","0.43-3.83","(NTU)","in range"
"84","2021-04-13","epchc","turb","ntu",2.4,"J","84","Turb (NTU)","1.38-5.86","(NTU)","in range"
"90","2021-04-13","epchc","turb","ntu",3.8,"J","90","Turb (NTU)","0.78-2.7","(NTU)","above"
"91","2021-04-13","epchc","turb","ntu",1,"J","91","Turb (NTU)","0.8-3.28","(NTU)","in range"
"MB01","2021-04-14","epchc","do","mgl",7.16,NA,"400","DO (mg/L)","6.05-7.55","(mg/L)","in range"
"MC365","2021-04-14","epchc","do","mgl",7.07,NA,"365","DO (mg/L)","5.98-7.72","(mg/L)","in range"
"MC395","2021-04-14","epchc","do","mgl",6.29,NA,"405","DO (mg/L)","6.07-7.43","(mg/L)","in range"
"MC396","2021-04-14","epchc","do","mgl",6.78,NA,"24","DO (mg/L)","5.66-6.78","(mg/L)","in range"
"MC405","2021-04-14","epchc","do","mgl",5.83,NA,"405","DO (mg/L)","6.07-7.43","(mg/L)","below"
"MC408","2021-04-14","epchc","do","mgl",6.59,NA,"408","DO (mg/L)","6.11-7.25","(mg/L)","in range"
"MC422","2021-04-14","epchc","do","mgl",6.72,NA,"400","DO (mg/L)","6.05-7.55","(mg/L)","in range"
"MC430","2021-04-14","epchc","do","mgl",6.78,NA,"434","DO (mg/L)","5.94-7.82","(mg/L)","in range"
"MC431","2021-04-14","epchc","do","mgl",6.47,NA,"434","DO (mg/L)","5.94-7.82","(mg/L)","in range"
"MC434","2021-04-14","epchc","do","mgl",6.49,NA,"434","DO (mg/L)","5.94-7.82","(mg/L)","in range"
"MB01","2021-04-14","epchc","dosat","per",103.2,NA,"400","DO (% sat.)","94.2-103","(% sat.)","above"
"MC365","2021-04-14","epchc","dosat","per",100.9,NA,"365","DO (% sat.)","96.8-102.6","(% sat.)","in range"
"MC395","2021-04-14","epchc","dosat","per",89.6,NA,"405","DO (% sat.)","90.7-101.3","(% sat.)","below"
"MC396","2021-04-14","epchc","dosat","per",97.1,NA,"24","DO (% sat.)","84.1-96.1","(% sat.)","above"
"MC405","2021-04-14","epchc","dosat","per",83.1,NA,"405","DO (% sat.)","90.7-101.3","(% sat.)","below"
"MC408","2021-04-14","epchc","dosat","per",93.8,NA,"408","DO (% sat.)","91.5-101.5","(% sat.)","in range"
"MC422","2021-04-14","epchc","dosat","per",96.2,NA,"400","DO (% sat.)","94.2-103","(% sat.)","in range"
"MC430","2021-04-14","epchc","dosat","per",96.1,NA,"434","DO (% sat.)","95.8-108.4","(% sat.)","in range"
"MC431","2021-04-14","epchc","dosat","per",90.5,NA,"434","DO (% sat.)","95.8-108.4","(% sat.)","below"
"MC434","2021-04-14","epchc","dosat","per",91.6,NA,"434","DO (% sat.)","95.8-108.4","(% sat.)","below"
"MB01","2021-04-14","epchc","ph","none",8.2,NA,"400","pH","7.9-8.1","","above"
"MC365","2021-04-14","epchc","ph","none",8.1,NA,"365","pH","7.8-8.2","","in range"
"MC395","2021-04-14","epchc","ph","none",8,NA,"405","pH","7.8-8.2","","in range"
"MC396","2021-04-14","epchc","ph","none",8.2,NA,"24","pH","8-8.2","","in range"
"MC405","2021-04-14","epchc","ph","none",8,NA,"405","pH","7.8-8.2","","in range"
"MC408","2021-04-14","epchc","ph","none",8.1,NA,"408","pH","7.6-8.2","","in range"
"MC422","2021-04-14","epchc","ph","none",8.1,NA,"400","pH","7.9-8.1","","above"
"MC430","2021-04-14","epchc","ph","none",8,NA,"434","pH","7.9-8.3","","in range"
"MC431","2021-04-14","epchc","ph","none",8,NA,"434","pH","7.9-8.3","","in range"
"MC434","2021-04-14","epchc","ph","none",8,NA,"434","pH","7.9-8.3","","in range"
"MB01","2021-04-14","epchc","sal","ppt",29.9,NA,"400","Sal (ppt)","28.3-34.5","(ppt)","in range"
"MC365","2021-04-14","epchc","sal","ppt",30.9,NA,"365","Sal (ppt)","25.9-34.7","(ppt)","in range"
"MC395","2021-04-14","epchc","sal","ppt",28.9,NA,"405","Sal (ppt)","25.5-35.5","(ppt)","in range"
"MC396","2021-04-14","epchc","sal","ppt",30.4,NA,"24","Sal (ppt)","30.1-34.7","(ppt)","in range"
"MC405","2021-04-14","epchc","sal","ppt",29.4,NA,"405","Sal (ppt)","25.5-35.5","(ppt)","in range"
"MC408","2021-04-14","epchc","sal","ppt",29.5,NA,"408","Sal (ppt)","27.2-34.2","(ppt)","in range"
"MC422","2021-04-14","epchc","sal","ppt",30.7,NA,"400","Sal (ppt)","28.3-34.5","(ppt)","in range"
"MC430","2021-04-14","epchc","sal","ppt",28.4,NA,"434","Sal (ppt)","24.9-34.9","(ppt)","in range"
"MC431","2021-04-14","epchc","sal","ppt",26.5,NA,"434","Sal (ppt)","24.9-34.9","(ppt)","in range"
"MC434","2021-04-14","epchc","sal","ppt",28,NA,"434","Sal (ppt)","24.9-34.9","(ppt)","in range"
"MB01","2021-04-14","epchc","temp","c",24.9,NA,"400","Temp (C)","21.5-25.9","(C)","in range"
"MC365","2021-04-14","epchc","temp","c",24,NA,"365","Temp (C)","21.6-24.8","(C)","in range"
"MC395","2021-04-14","epchc","temp","c",24.6,NA,"405","Temp (C)","21.7-25.5","(C)","in range"
"MC396","2021-04-14","epchc","temp","c",24.4,NA,"24","Temp (C)","22.4-26.6","(C)","in range"
"MC405","2021-04-14","epchc","temp","c",24.4,NA,"405","Temp (C)","21.7-25.5","(C)","in range"
"MC408","2021-04-14","epchc","temp","c",24.3,NA,"408","Temp (C)","21.5-25.9","(C)","in range"
"MC422","2021-04-14","epchc","temp","c",24.3,NA,"400","Temp (C)","21.5-25.9","(C)","in range"
"MC430","2021-04-14","epchc","temp","c",24.4,NA,"434","Temp (C)","22.3-25.1","(C)","in range"
"MC431","2021-04-14","epchc","temp","c",24.5,NA,"434","Temp (C)","22.3-25.1","(C)","in range"
"MC434","2021-04-14","epchc","temp","c",24.3,NA,"434","Temp (C)","22.3-25.1","(C)","in range"
"MB01","2021-04-15","epchc","chla","ugl",3.8,"I","400","Chl-a (ug/L)","1-5.4","(ug/L)","in range"
"MC365","2021-04-15","epchc","chla","ugl",4.5,"I","386","Chl-a (ug/L)","1.22-3.58","(ug/L)","above"
"MC395","2021-04-15","epchc","chla","ugl",2.9,"I","408","Chl-a (ug/L)","1.64-3.76","(ug/L)","in range"
"MC396","2021-04-15","epchc","chla","ugl",2,"I","386","Chl-a (ug/L)","1.22-3.58","(ug/L)","in range"
"MC405","2021-04-15","epchc","chla","ugl",2.8,"I","408","Chl-a (ug/L)","1.64-3.76","(ug/L)","in range"
"MC408","2021-04-15","epchc","chla","ugl",2.2,"I","408","Chl-a (ug/L)","1.64-3.76","(ug/L)","in range"
"MC422","2021-04-15","epchc","chla","ugl",3.9,"I","400","Chl-a (ug/L)","1-5.4","(ug/L)","in range"
"MC430","2021-04-15","epchc","chla","ugl",6.6,NA,"408","Chl-a (ug/L)","1.64-3.76","(ug/L)","above"
"MC431","2021-04-15","epchc","chla","ugl",3.6,"I","433","Chl-a (ug/L)","1.64-6.9","(ug/L)","in range"
"MC434","2021-04-15","epchc","chla","ugl",3.4,"I","433","Chl-a (ug/L)","1.64-6.9","(ug/L)","in range"
"MB01","2021-04-15","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"MC365","2021-04-15","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"MC395","2021-04-15","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"MC396","2021-04-15","epchc","no23","mgl",0.031,"I","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"MC405","2021-04-15","epchc","no23","mgl",0.013,"U","535","Nitrate/Nitrite (mg/L)","0.00154-0.02812","(mg/L)","in range"
"MC408","2021-04-15","epchc","no23","mgl",0.013,"U","535","Nitrate/Nitrite (mg/L)","0.00154-0.02812","(mg/L)","in range"
"MC422","2021-04-15","epchc","no23","mgl",0.013,"U","CH1","Nitrate/Nitrite (mg/L)","0.02024-0.19776","(mg/L)","below"
"MC430","2021-04-15","epchc","no23","mgl",0.013,"U","535","Nitrate/Nitrite (mg/L)","0.00154-0.02812","(mg/L)","in range"
"MC431","2021-04-15","epchc","no23","mgl",0.013,"U","535","Nitrate/Nitrite (mg/L)","0.00154-0.02812","(mg/L)","in range"
"MC434","2021-04-15","epchc","no23","mgl",0.013,"UJ","CH1","Nitrate/Nitrite (mg/L)","0.02024-0.19776","(mg/L)","below"
"MB01","2021-04-15","epchc","ph","none",8.3,"Q","400","pH","7.9-8.1","","above"
"MC365","2021-04-15","epchc","ph","none",8.3,"Q","365","pH","7.8-8.2","","above"
"MC395","2021-04-15","epchc","ph","none",8.3,"Q","405","pH","7.8-8.2","","above"
"MC396","2021-04-15","epchc","ph","none",8.4,"Q","24","pH","8-8.2","","above"
"MC405","2021-04-15","epchc","ph","none",8.3,"Q","405","pH","7.8-8.2","","above"
"MC408","2021-04-15","epchc","ph","none",8.3,"Q","408","pH","7.6-8.2","","above"
"MC422","2021-04-15","epchc","ph","none",8.4,"Q","400","pH","7.9-8.1","","above"
"MC430","2021-04-15","epchc","ph","none",8.3,"Q","434","pH","7.9-8.3","","above"
"MC431","2021-04-15","epchc","ph","none",8.3,"Q","434","pH","7.9-8.3","","above"
"MC434","2021-04-15","epchc","ph","none",8.3,"Q","434","pH","7.9-8.3","","above"
"MB01","2021-04-15","epchc","tkn","mgl",0.354,"I","400","TKN (mg/L)","0.103-0.461","(mg/L)","in range"
"MC365","2021-04-15","epchc","tkn","mgl",0.268,"I","365","TKN (mg/L)","0.195-0.749","(mg/L)","in range"
"MC395","2021-04-15","epchc","tkn","mgl",0.311,"I","405","TKN (mg/L)","0.175-0.529","(mg/L)","in range"
"MC396","2021-04-15","epchc","tkn","mgl",0.313,"I","386","TKN (mg/L)","0.125-0.431","(mg/L)","in range"
"MC405","2021-04-15","epchc","tkn","mgl",0.304,"I","405","TKN (mg/L)","0.175-0.529","(mg/L)","in range"
"MC408","2021-04-15","epchc","tkn","mgl",0.268,"I","408","TKN (mg/L)","0.138-0.554","(mg/L)","in range"
"MC422","2021-04-15","epchc","tkn","mgl",0.232,"IJ","400","TKN (mg/L)","0.103-0.461","(mg/L)","in range"
"MC430","2021-04-15","epchc","tkn","mgl",0.281,"I","434","TKN (mg/L)","0.08-0.534","(mg/L)","in range"
"MC431","2021-04-15","epchc","tkn","mgl",0.33,"I","434","TKN (mg/L)","0.08-0.534","(mg/L)","in range"
"MC434","2021-04-15","epchc","tkn","mgl",0.314,"I","434","TKN (mg/L)","0.08-0.534","(mg/L)","in range"
"MB01","2021-04-15","epchc","tn","mgl",0.354,"I","400","TN (mg/L)","0.11-0.482","(mg/L)","in range"
"MC365","2021-04-15","epchc","tn","mgl",0.268,"I","365","TN (mg/L)","0.211-0.775","(mg/L)","in range"
"MC395","2021-04-15","epchc","tn","mgl",0.311,"I","405","TN (mg/L)","0.221-0.581","(mg/L)","in range"
"MC396","2021-04-15","epchc","tn","mgl",0.344,"I","386","TN (mg/L)","0.123-0.453","(mg/L)","in range"
"MC405","2021-04-15","epchc","tn","mgl",0.304,"I","405","TN (mg/L)","0.221-0.581","(mg/L)","in range"
"MC408","2021-04-15","epchc","tn","mgl",0.268,"I","408","TN (mg/L)","0.18-0.592","(mg/L)","in range"
"MC422","2021-04-15","epchc","tn","mgl",0.232,"I","400","TN (mg/L)","0.11-0.482","(mg/L)","in range"
"MC430","2021-04-15","epchc","tn","mgl",0.281,"I","434","TN (mg/L)","0.182-0.624","(mg/L)","in range"
"MC431","2021-04-15","epchc","tn","mgl",0.33,"I","434","TN (mg/L)","0.182-0.624","(mg/L)","in range"
"MC434","2021-04-15","epchc","tn","mgl",0.314,"I","434","TN (mg/L)","0.182-0.624","(mg/L)","in range"
"MB01","2021-04-15","epchc","tp","mgl",0.169,"I","400","TP (mg/L)","0-0.416","(mg/L)","in range"
"MC365","2021-04-15","epchc","tp","mgl",0.19,"I","365","TP (mg/L)","0-0.546","(mg/L)","in range"
"MC395","2021-04-15","epchc","tp","mgl",0.177,"I","405","TP (mg/L)","0.007-0.893","(mg/L)","in range"
"MC396","2021-04-15","epchc","tp","mgl",0.252,"I","386","TP (mg/L)","0-0.383","(mg/L)","in range"
"MC405","2021-04-15","epchc","tp","mgl",0.143,"I","405","TP (mg/L)","0.007-0.893","(mg/L)","in range"
"MC408","2021-04-15","epchc","tp","mgl",0.146,"I","408","TP (mg/L)","0-0.362","(mg/L)","in range"
"MC422","2021-04-15","epchc","tp","mgl",0.152,"I","400","TP (mg/L)","0-0.416","(mg/L)","in range"
"MC430","2021-04-15","epchc","tp","mgl",0.153,"I","434","TP (mg/L)","0-0.542","(mg/L)","in range"
"MC431","2021-04-15","epchc","tp","mgl",0.181,"I","434","TP (mg/L)","0-0.542","(mg/L)","in range"
"MC434","2021-04-15","epchc","tp","mgl",0.16,"I","434","TP (mg/L)","0-0.542","(mg/L)","in range"
"MB01","2021-04-15","epchc","turb","ntu",1.8,"J","400","Turb (NTU)","1.03-1.77","(NTU)","above"
"MC365","2021-04-15","epchc","turb","ntu",1.1,"J","365","Turb (NTU)","0.96-1.24","(NTU)","in range"
"MC395","2021-04-15","epchc","turb","ntu",3.5,"J","405","Turb (NTU)","1.03-2.61","(NTU)","above"
"MC396","2021-04-15","epchc","turb","ntu",2.5,"J","24","Turb (NTU)","0.43-3.83","(NTU)","in range"
"MC405","2021-04-15","epchc","turb","ntu",1.3,"J","405","Turb (NTU)","1.03-2.61","(NTU)","in range"
"MC408","2021-04-15","epchc","turb","ntu",2.4,"J","408","Turb (NTU)","1.28-2.04","(NTU)","above"
"MC422","2021-04-15","epchc","turb","ntu",2.6,"J","400","Turb (NTU)","1.03-1.77","(NTU)","above"
"MC430","2021-04-15","epchc","turb","ntu",2.4,"J","434","Turb (NTU)","0.97-2.99","(NTU)","in range"
"MC431","2021-04-15","epchc","turb","ntu",1.8,"J","434","Turb (NTU)","0.97-2.99","(NTU)","in range"
"MC434","2021-04-15","epchc","turb","ntu",3.3,"J","434","Turb (NTU)","0.97-2.99","(NTU)","above"
"16","2021-04-19","epchc","chla","ugl",1.8,"I","202","Chl-a (ug/L)","1.23-4.03","(ug/L)","in range"
"19","2021-04-19","epchc","chla","ugl",1.7,"I","202","Chl-a (ug/L)","1.23-4.03","(ug/L)","in range"
"21","2021-04-19","epchc","chla","ugl",2.4,"I","202","Chl-a (ug/L)","1.23-4.03","(ug/L)","in range"
"22","2021-04-19","epchc","chla","ugl",6,NA,"361","Chl-a (ug/L)","1.32-2.42","(ug/L)","above"
"23","2021-04-19","epchc","chla","ugl",2.2,"I","202","Chl-a (ug/L)","1.23-4.03","(ug/L)","in range"
"24","2021-04-19","epchc","chla","ugl",3.2,"I","386","Chl-a (ug/L)","1.22-3.58","(ug/L)","in range"
"25","2021-04-19","epchc","chla","ugl",1.8,"I","361","Chl-a (ug/L)","1.32-2.42","(ug/L)","in range"
"28","2021-04-19","epchc","chla","ugl",2.8,"I","202","Chl-a (ug/L)","1.23-4.03","(ug/L)","in range"
"82","2021-04-19","epchc","chla","ugl",4.7,"I","32","Chl-a (ug/L)","2.51-6.47","(ug/L)","in range"
"84","2021-04-19","epchc","chla","ugl",2.6,"I","202","Chl-a (ug/L)","1.23-4.03","(ug/L)","in range"
"90","2021-04-19","epchc","chla","ugl",1.9,"I","361","Chl-a (ug/L)","1.32-2.42","(ug/L)","in range"
"91","2021-04-19","epchc","chla","ugl",1.5,"I","386","Chl-a (ug/L)","1.22-3.58","(ug/L)","in range"
"92","2021-04-19","epchc","chla","ugl",1.6,"I","425","Chl-a (ug/L)","0.94-4.32","(ug/L)","in range"
"93","2021-04-19","epchc","chla","ugl",1.9,"I","455","Chl-a (ug/L)","1.66-2.2","(ug/L)","in range"
"94","2021-04-19","epchc","chla","ugl",1.5,"I","455","Chl-a (ug/L)","1.66-2.2","(ug/L)","below"
"95","2021-04-19","epchc","chla","ugl",1.7,"I","425","Chl-a (ug/L)","0.94-4.32","(ug/L)","in range"
"96","2021-04-19","epchc","chla","ugl",2.7,"I","386","Chl-a (ug/L)","1.22-3.58","(ug/L)","in range"
"16","2021-04-19","epchc","do","mgl",5.99,NA,"16","DO (mg/L)","5.86-6.6","(mg/L)","in range"
"19","2021-04-19","epchc","do","mgl",6.19,NA,"19","DO (mg/L)","5.9-6.64","(mg/L)","in range"
"21","2021-04-19","epchc","do","mgl",6.28,NA,"21","DO (mg/L)","6-6.58","(mg/L)","in range"
"22","2021-04-19","epchc","do","mgl",4.72,NA,"22","DO (mg/L)","5.67-7.05","(mg/L)","below"
"23","2021-04-19","epchc","do","mgl",6.53,NA,"23","DO (mg/L)","6.01-6.53","(mg/L)","in range"
"24","2021-04-19","epchc","do","mgl",5.98,NA,"24","DO (mg/L)","5.66-6.78","(mg/L)","in range"
"25","2021-04-19","epchc","do","mgl",6.49,NA,"25","DO (mg/L)","6.34-7.56","(mg/L)","in range"
"28","2021-04-19","epchc","do","mgl",6.01,NA,"28","DO (mg/L)","6.05-6.81","(mg/L)","below"
"82","2021-04-19","epchc","do","mgl",6.32,NA,"82","DO (mg/L)","6.18-7.14","(mg/L)","in range"
"84","2021-04-19","epchc","do","mgl",5.89,NA,"84","DO (mg/L)","5.5-6.7","(mg/L)","in range"
"90","2021-04-19","epchc","do","mgl",6.32,NA,"90","DO (mg/L)","5.87-6.55","(mg/L)","in range"
"91","2021-04-19","epchc","do","mgl",5.96,NA,"91","DO (mg/L)","5.8-6.44","(mg/L)","in range"
"92","2021-04-19","epchc","do","mgl",6.12,NA,"92","DO (mg/L)","5.95-6.75","(mg/L)","in range"
"93","2021-04-19","epchc","do","mgl",6.14,NA,"93","DO (mg/L)","6.04-6.68","(mg/L)","in range"
"94","2021-04-19","epchc","do","mgl",6.21,NA,"93","DO (mg/L)","6.04-6.68","(mg/L)","in range"
"95","2021-04-19","epchc","do","mgl",6.2,NA,"95","DO (mg/L)","5.99-6.55","(mg/L)","in range"
"96","2021-04-19","epchc","do","mgl",6.23,NA,"95","DO (mg/L)","5.99-6.55","(mg/L)","in range"
"16","2021-04-19","epchc","dosat","per",86,NA,"16","DO (% sat.)","84.6-93.6","(% sat.)","in range"
"19","2021-04-19","epchc","dosat","per",89.4,NA,"19","DO (% sat.)","85.8-94.4","(% sat.)","in range"
"21","2021-04-19","epchc","dosat","per",91.8,NA,"21","DO (% sat.)","87.5-93.5","(% sat.)","in range"
"22","2021-04-19","epchc","dosat","per",69.4,NA,"22","DO (% sat.)","82.5-100.9","(% sat.)","below"
"23","2021-04-19","epchc","dosat","per",93.2,NA,"23","DO (% sat.)","88.1-94.5","(% sat.)","in range"
"24","2021-04-19","epchc","dosat","per",88.9,NA,"24","DO (% sat.)","84.1-96.1","(% sat.)","in range"
"25","2021-04-19","epchc","dosat","per",95.7,NA,"25","DO (% sat.)","94.1-109.3","(% sat.)","in range"
"28","2021-04-19","epchc","dosat","per",87.1,NA,"28","DO (% sat.)","88.8-97.4","(% sat.)","below"
"82","2021-04-19","epchc","dosat","per",90,NA,"82","DO (% sat.)","90.2-100.8","(% sat.)","below"
"84","2021-04-19","epchc","dosat","per",85.2,NA,"84","DO (% sat.)","80.1-92.1","(% sat.)","in range"
"90","2021-04-19","epchc","dosat","per",92.4,NA,"90","DO (% sat.)","85.6-93.2","(% sat.)","in range"
"91","2021-04-19","epchc","dosat","per",87.3,NA,"91","DO (% sat.)","86.3-92.5","(% sat.)","in range"
"92","2021-04-19","epchc","dosat","per",91.2,NA,"92","DO (% sat.)","87.8-98.2","(% sat.)","in range"
"93","2021-04-19","epchc","dosat","per",91.6,NA,"93","DO (% sat.)","89.3-96.5","(% sat.)","in range"
"94","2021-04-19","epchc","dosat","per",92,NA,"93","DO (% sat.)","89.3-96.5","(% sat.)","in range"
"95","2021-04-19","epchc","dosat","per",91.8,NA,"95","DO (% sat.)","88.8-94.6","(% sat.)","in range"
"96","2021-04-19","epchc","dosat","per",91.9,NA,"95","DO (% sat.)","88.8-94.6","(% sat.)","in range"
"16","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"19","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"21","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"22","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"23","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"24","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"25","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"28","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"82","2021-04-19","epchc","nh34","mgl",0.03,"I","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"84","2021-04-19","epchc","nh34","mgl",0.026,"I","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"90","2021-04-19","epchc","nh34","mgl",0.035,"I","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"91","2021-04-19","epchc","nh34","mgl",0.02,"U","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"92","2021-04-19","epchc","nh34","mgl",0.028,"I","CH1","NH3, NH4+ (mg/L)","0.0235-0.1127","(mg/L)","in range"
"93","2021-04-19","epchc","nh34","mgl",0.027,"I","CH1","NH3, NH4+ (mg/L)","0.0235-0.1127","(mg/L)","in range"
"94","2021-04-19","epchc","nh34","mgl",0.026,"I","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"95","2021-04-19","epchc","nh34","mgl",0.021,"I","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"96","2021-04-19","epchc","nh34","mgl",0.025,"I","361","NH3, NH4+ (mg/L)","0-0.0636","(mg/L)","in range"
"16","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"19","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"21","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"22","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"23","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"24","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"25","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"28","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"82","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"84","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"90","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"91","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"92","2021-04-19","epchc","no23","mgl",0.013,"U","CH1","Nitrate/Nitrite (mg/L)","0.02024-0.19776","(mg/L)","below"
"93","2021-04-19","epchc","no23","mgl",0.013,"UJ","CH1","Nitrate/Nitrite (mg/L)","0.02024-0.19776","(mg/L)","below"
"94","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"95","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"96","2021-04-19","epchc","no23","mgl",0.013,"U","361","Nitrate/Nitrite (mg/L)","0.00276-0.01124","(mg/L)","above"
"16","2021-04-19","epchc","orthop","mgl",0.066,"I","16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","in range"
"19","2021-04-19","epchc","orthop","mgl",0.066,"I","16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","in range"
"21","2021-04-19","epchc","orthop","mgl",0.146,NA,"16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","above"
"22","2021-04-19","epchc","orthop","mgl",0.155,NA,"LM4","Ortho-P (mg/L)","0.1174-0.1912","(mg/L)","in range"
"23","2021-04-19","epchc","orthop","mgl",0.069,"I","16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","in range"
"24","2021-04-19","epchc","orthop","mgl",0.073,"I","CH1","Ortho-P (mg/L)","0.2159-0.2707","(mg/L)","below"
"25","2021-04-19","epchc","orthop","mgl",0.024,"U","16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","below"
"28","2021-04-19","epchc","orthop","mgl",0.024,"U","16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","below"
"82","2021-04-19","epchc","orthop","mgl",0.07,"I","32","Ortho-P (mg/L)","0.0533-0.0749","(mg/L)","in range"
"84","2021-04-19","epchc","orthop","mgl",0.088,"IQ","84","Ortho-P (mg/L)","0.0556-0.0852","(mg/L)","above"
"90","2021-04-19","epchc","orthop","mgl",0.091,"I","16","Ortho-P (mg/L)","0.0508-0.0758","(mg/L)","above"
