"station","date","source","var","uni","val","qual","bswqstation","lbs","nrmrng","lbunis","inrng"
"COSPE7-B2103","2021-05-24","cosp","tkn","mgl",0.31,NA,"202","TKN (mg/L)","0.11-0.244","(mg/L)","above"
"COSPE7-C2103","2021-05-24","cosp","tkn","mgl",0.06,"U","202","TKN (mg/L)","0.11-0.244","(mg/L)","below"
"COSPE7-D2103","2021-05-24","cosp","tkn","mgl",0.06,"U","202","TKN (mg/L)","0.11-0.244","(mg/L)","below"
"COSPE7-A2103","2021-05-24","cosp","tn","mgl",0.068,"U","202","TN (mg/L)","0.16-0.3","(mg/L)","below"
"COSPE7-B2103","2021-05-24","cosp","tn","mgl",0.31,NA,"202","TN (mg/L)","0.16-0.3","(mg/L)","above"
"COSPE7-C2103","2021-05-24","cosp","tn","mgl",0.068,"U","202","TN (mg/L)","0.16-0.3","(mg/L)","below"
"COSPE7-D2103","2021-05-24","cosp","tn","mgl",0.068,"U","202","TN (mg/L)","0.16-0.3","(mg/L)","below"
"COSPE7-A2103","2021-05-24","cosp","tp","mgl",0.09,NA,"357","TP (mg/L)","0-0.308","(mg/L)","in range"
"COSPE7-B2103","2021-05-24","cosp","tp","mgl",0.1,NA,"357","TP (mg/L)","0-0.308","(mg/L)","in range"
"COSPE7-C2103","2021-05-24","cosp","tp","mgl",0.07,NA,"357","TP (mg/L)","0-0.308","(mg/L)","in range"
"COSPE7-D2103","2021-05-24","cosp","tp","mgl",0.08,NA,"84","TP (mg/L)","0.119-0.171","(mg/L)","below"
"COSPE7-A2103","2021-05-24","cosp","tss","mgl",0.5,"U","28","TSS (mg/l)","1.03-16.31","(mg/l)","below"
"COSPE7-B2103","2021-05-24","cosp","tss","mgl",4.1,NA,"28","TSS (mg/l)","1.03-16.31","(mg/l)","in range"
"COSPE7-C2103","2021-05-24","cosp","tss","mgl",4.9,NA,"28","TSS (mg/l)","1.03-16.31","(mg/l)","in range"
"COSPE7-D2103","2021-05-24","cosp","tss","mgl",5.1,NA,"28","TSS (mg/l)","1.03-16.31","(mg/l)","in range"
"COSPE7-A2103","2021-05-24","cosp","turb","ntu",1.93,NA,"28","Turb (NTU)","0.3-3.54","(NTU)","in range"
"COSPE7-B2103","2021-05-24","cosp","turb","ntu",2.09,NA,"28","Turb (NTU)","0.3-3.54","(NTU)","in range"
"COSPE7-C2103","2021-05-24","cosp","turb","ntu",1.57,NA,"28","Turb (NTU)","0.3-3.54","(NTU)","in range"
"COSPE7-D2103","2021-05-24","cosp","turb","ntu",1.88,NA,"28","Turb (NTU)","0.3-3.54","(NTU)","in range"
"16","2021-03-23","epchc","do","mgl",6.62,NA,"16","DO (mg/L)","6.41-7.13","(mg/L)","in range"
"19","2021-03-23","epchc","do","mgl",6.56,NA,"19","DO (mg/L)","6.34-7.04","(mg/L)","in range"
"21","2021-03-23","epchc","do","mgl",6.56,NA,"21","DO (mg/L)","6.22-7","(mg/L)","in range"
"22","2021-03-23","epchc","do","mgl",7.7,NA,"22","DO (mg/L)","5.58-7.4","(mg/L)","above"
"23","2021-03-23","epchc","do","mgl",6.5,NA,"23","DO (mg/L)","6.13-7.23","(mg/L)","in range"
"24","2021-03-23","epchc","do","mgl",6.82,NA,"24","DO (mg/L)","6.09-6.97","(mg/L)","in range"
"25","2021-03-23","epchc","do","mgl",7.32,NA,"25","DO (mg/L)","6.37-8.39","(mg/L)","in range"
"28","2021-03-23","epchc","do","mgl",6.66,NA,"28","DO (mg/L)","6.04-7.42","(mg/L)","in range"
"82","2021-03-23","epchc","do","mgl",6.92,NA,"82","DO (mg/L)","6.16-7.58","(mg/L)","in range"
"84","2021-03-23","epchc","do","mgl",6.64,NA,"84","DO (mg/L)","6.24-7.12","(mg/L)","in range"
"90","2021-03-23","epchc","do","mgl",6.43,NA,"90","DO (mg/L)","6.04-7.06","(mg/L)","in range"
"91","2021-03-23","epchc","do","mgl",6.51,NA,"91","DO (mg/L)","6.1-7.22","(mg/L)","in range"
"92","2021-03-23","epchc","do","mgl",6.62,NA,"92","DO (mg/L)","6.11-7.21","(mg/L)","in range"
