"date","station","var","uni","val"
"1956-02-01","Station A 11, USFWS 1954-57","sal","ppt",34.3
"1956-02-01","Station A 16, USFWS 1954-57","sal","ppt",32.6
"1956-02-01","Station A 17, USFWS 1954-57","sal","ppt",31.7
"1956-02-14","Station A 7, USFWS 1954-57","sal","ppt",35
"1956-02-14","Station A 24, USFWS 1957-59","sal","ppt",33.9
"1956-02-29","Station A 7, USFWS 1954-57","sal","ppt",35.3
"1956-02-29","Station A 24, USFWS 1957-59","sal","ppt",35.3
"1956-03-07","Station A 8, USFWS 1954-57","sal","ppt",34.9
"1956-03-07","Station A 17, USFWS 1954-57","sal","ppt",33.3
"1956-03-07","Station A 16, USFWS 1954-57","sal","ppt",33.5
"1956-03-07","Station A 11, USFWS 1954-57","sal","ppt",35
"1956-03-08","Station A 7, USFWS 1954-57","sal","ppt",35.4
"1956-03-14","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1956-03-14","Station A 24, USFWS 1957-59","sal","ppt",35.4
"1956-03-26","Station A 7, USFWS 1954-57","sal","ppt",36.8
"1956-03-26","Station A 24, USFWS 1957-59","sal","ppt",34.2
"1956-04-03","Station A 7, USFWS 1954-57","sal","ppt",36.4
"1956-04-03","Station A 24, USFWS 1957-59","sal","ppt",35.6
"1956-04-11","Station A 16, USFWS 1954-57","sal","ppt",35.4
"1956-04-11","Station A 11, USFWS 1954-57","sal","ppt",36
"1956-04-12","Station A 8, USFWS 1954-57","sal","ppt",36
"1956-04-12","Station A 7, USFWS 1954-57","sal","ppt",36.3
"1956-04-12","Station A 17, USFWS 1954-57","sal","ppt",35.8
"1956-04-18","Station A 7, USFWS 1954-57","sal","ppt",36.3
"1956-04-18","Station A 24, USFWS 1957-59","sal","ppt",36.5
"1956-04-25","Station A 7, USFWS 1954-57","sal","ppt",36.2
"1956-04-25","Station A 24, USFWS 1957-59","sal","ppt",35
"1956-05-10","Station A 16, USFWS 1954-57","sal","ppt",32.2
"1956-05-10","Station A 7, USFWS 1954-57","sal","ppt",36.5
"1956-05-10","Station A 8, USFWS 1954-57","sal","ppt",36.5
"1956-05-10","Station A 11, USFWS 1954-57","sal","ppt",36.7
"1956-05-10","Station A 17, USFWS 1954-57","sal","ppt",33.3
"1956-06-07","Station A 24, USFWS 1957-59","sal","ppt",35.8
"1956-06-07","Station A 24, USFWS 1957-59","sal","ppt",35.8
"1956-06-07","Station A 17, USFWS 1954-57","sal","ppt",36.7
"1956-06-07","Station A 11, USFWS 1954-57","sal","ppt",37.3
"1956-06-11","Station A 16, USFWS 1954-57","sal","ppt",36.3
"1956-06-26","Station A 17, USFWS 1954-57","sal","ppt",36.4
"1956-06-26","Station A 7, USFWS 1954-57","sal","ppt",36.5
"1956-06-26","Station A 24, USFWS 1957-59","sal","ppt",36.8
"1956-07-13","Station A 17, USFWS 1954-57","sal","ppt",35.6
"1956-07-17","Station A 7, USFWS 1954-57","sal","ppt",37
"1956-07-17","Station A 11, USFWS 1954-57","sal","ppt",36.7
"1956-07-17","Station A 16, USFWS 1954-57","sal","ppt",36.7
"1956-07-17","Station A 24, USFWS 1957-59","sal","ppt",36.8
"1956-07-30","Station A 17, USFWS 1954-57","sal","ppt",36
"1956-07-30","Station A 7, USFWS 1954-57","sal","ppt",36.3
"1956-07-30","Station A 24, USFWS 1957-59","sal","ppt",35.6
"1956-08-06","Station A 7, USFWS 1954-57","sal","ppt",37.2
"1956-08-06","Station A 24, USFWS 1957-59","sal","ppt",35.7
"1956-08-13","Station A 7, USFWS 1954-57","sal","ppt",36.9
"1956-08-13","Station A 24, USFWS 1957-59","sal","ppt",36.2
"1956-08-27","Station A 7, USFWS 1954-57","sal","ppt",36.5
"1956-08-27","Station A 17, USFWS 1954-57","sal","ppt",36.6
"1956-08-27","Station A 24, USFWS 1957-59","sal","ppt",35.3
"1956-09-04","Station A 17, USFWS 1954-57","sal","ppt",35
"1956-09-04","Station A 7, USFWS 1954-57","sal","ppt",37.3
"1956-09-04","Station A 24, USFWS 1957-59","sal","ppt",35.5
"1956-09-10","Station A 17, USFWS 1954-57","sal","ppt",33.6
"1956-09-12","Station A 7, USFWS 1954-57","sal","ppt",36.6
"1956-09-12","Station A 24, USFWS 1957-59","sal","ppt",33.3
"1956-09-24","Station A 7, USFWS 1954-57","sal","ppt",37.1
"1956-09-24","Station A 17, USFWS 1954-57","sal","ppt",35.4
"1956-09-24","Station A 24, USFWS 1957-59","sal","ppt",34.8
"1956-10-02","Station A 7, USFWS 1954-57","sal","ppt",36.7
"1956-10-02","Station A 24, USFWS 1957-59","sal","ppt",33.9
"1956-10-08","Station A 7, USFWS 1954-57","sal","ppt",35
"1956-10-08","Station A 17, USFWS 1954-57","sal","ppt",34.2
"1956-10-08","Station A 24, USFWS 1957-59","sal","ppt",33.3
"1956-10-17","Station A 17, USFWS 1954-57","sal","ppt",36.6
"1956-10-17","Station A 7, USFWS 1954-57","sal","ppt",35.9
"1956-10-17","Station A 24, USFWS 1957-59","sal","ppt",35.8
"1956-10-25","Station A 24, USFWS 1957-59","sal","ppt",34.5
"1956-10-25","Station A 17, USFWS 1954-57","sal","ppt",35.1
"1956-10-25","Station A 7, USFWS 1954-57","sal","ppt",35.3
"1956-10-30","Station A 17, USFWS 1954-57","sal","ppt",34.5
"1956-11-01","Station A 7, USFWS 1954-57","sal","ppt",35.7
"1956-11-07","Station A 7, USFWS 1954-57","sal","ppt",35.2
"1956-11-07","Station A 24, USFWS 1957-59","sal","ppt",34
"1956-11-14","Station A 17, USFWS 1954-57","sal","ppt",34.8
"1956-11-15","Station A 7, USFWS 1954-57","sal","ppt",36.2
"1956-11-15","Station A 24, USFWS 1957-59","sal","ppt",34.1
"1956-11-19","Station A 7, USFWS 1954-57","sal","ppt",34.8
"1956-11-19","Station A 24, USFWS 1957-59","sal","ppt",34.4
"1956-11-26","Station A 7, USFWS 1954-57","sal","ppt",34.5
"1956-11-27","Station A 24, USFWS 1957-59","sal","ppt",34.7
"1956-12-03","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1956-12-03","Station A 17, USFWS 1954-57","sal","ppt",34.3
"1956-12-03","Station A 24, USFWS 1957-59","sal","ppt",34.5
"1956-12-11","Station A 7, USFWS 1954-57","sal","ppt",34.8
"1956-12-11","Station A 17, USFWS 1954-57","sal","ppt",34.3
"1956-12-20","Station A 7, USFWS 1954-57","sal","ppt",35
"1956-12-20","Station A 17, USFWS 1954-57","sal","ppt",34.5
"1956-12-20","Station A 24, USFWS 1957-59","sal","ppt",34.6
"1957-01-09","Station A 7, USFWS 1954-57","sal","ppt",35.3
"1957-01-09","Station A 24, USFWS 1957-59","sal","ppt",34.7
"1957-01-10","Station A 17, USFWS 1954-57","sal","ppt",34.6
"1957-01-15","Station A 7, USFWS 1954-57","sal","ppt",34.7
"1957-01-22","Station A 7, USFWS 1954-57","sal","ppt",34.8
"1957-01-22","Station A 24, USFWS 1957-59","sal","ppt",33.6
"1957-01-28","Station A 17, USFWS 1954-57","sal","ppt",34.1
"1957-01-28","Station A 7, USFWS 1954-57","sal","ppt",34.7
"1957-01-28","Station A 24, USFWS 1957-59","sal","ppt",34.1
"1957-02-05","Station A 7, USFWS 1954-57","sal","ppt",35
"1957-02-05","Station A 17, USFWS 1954-57","sal","ppt",34.7
"1957-02-11","Station A 7, USFWS 1954-57","sal","ppt",35.2
"1957-02-11","Station A 24, USFWS 1957-59","sal","ppt",34.7
"1957-02-26","Station A 17, USFWS 1954-57","sal","ppt",33.7
"1957-02-26","Station A 7, USFWS 1954-57","sal","ppt",34.7
"1957-02-26","Station A 24, USFWS 1957-59","sal","ppt",34.4
"1957-03-07","Station A 7, USFWS 1954-57","sal","ppt",34.7
"1957-03-07","Station A 24, USFWS 1957-59","sal","ppt",34.2
"1957-03-12","Station A 7, USFWS 1954-57","sal","ppt",34.5
"1957-03-12","Station A 24, USFWS 1957-59","sal","ppt",34
"1957-03-18","Station A 7, USFWS 1954-57","sal","ppt",34.9
"1957-03-18","Station A 24, USFWS 1957-59","sal","ppt",34.1
"1957-03-28","Station A 17, USFWS 1954-57","sal","ppt",35
"1957-03-28","Station A 24, USFWS 1957-59","sal","ppt",34.3
"1957-03-28","Station A 7, USFWS 1954-57","sal","ppt",34.2
"1957-04-08","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1957-04-08","Station A 24, USFWS 1957-59","sal","ppt",33.5
"1957-04-12","Station A 17, USFWS 1954-57","sal","ppt",32.5
"1957-04-17","Station A 7, USFWS 1954-57","sal","ppt",34
"1957-04-17","Station A 24, USFWS 1957-59","sal","ppt",31.5
"1957-04-22","Station A 17, USFWS 1954-57","sal","ppt",31.7
"1957-04-22","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1957-04-23","Station A 24, USFWS 1957-59","sal","ppt",33.3
"1957-05-03","Station A 7, USFWS 1954-57","sal","ppt",34
"1957-05-03","Station A 24, USFWS 1957-59","sal","ppt",34.2
"1957-05-07","Station A 17, USFWS 1954-57","sal","ppt",31.5
"1957-05-07","Station A 7, USFWS 1954-57","sal","ppt",34
"1957-05-07","Station A 24, USFWS 1957-59","sal","ppt",31.4
"1957-05-14","Station A 7, USFWS 1954-57","sal","ppt",33.9
"1957-05-14","Station A 24, USFWS 1957-59","sal","ppt",33.2
"1957-05-21","Station A 7, USFWS 1954-57","sal","ppt",34.2
"1957-05-21","Station A 24, USFWS 1957-59","sal","ppt",33.8
"1957-05-27","Station A 17, USFWS 1954-57","sal","ppt",32.5
"1957-05-27","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1957-05-27","Station A 24, USFWS 1957-59","sal","ppt",34.4
"1957-06-03","Station A 7, USFWS 1954-57","sal","ppt",33.2
"1957-06-03","Station A 17, USFWS 1954-57","sal","ppt",32.1
"1957-06-03","Station A 24, USFWS 1957-59","sal","ppt",32.8
"1957-06-11","Station A 17, USFWS 1954-57","sal","ppt",33
"1957-06-11","Station A 7, USFWS 1954-57","sal","ppt",34.8
"1957-06-11","Station A 24, USFWS 1957-59","sal","ppt",33.7
"1957-06-17","Station A 17, USFWS 1954-57","sal","ppt",31.6
"1957-06-17","Station A 7, USFWS 1954-57","sal","ppt",34.1
"1957-06-17","Station A 24, USFWS 1957-59","sal","ppt",32.3
"1957-06-19","Station A 17, USFWS 1954-57","sal","ppt",32
"1957-07-02","Station A 17, USFWS 1954-57","sal","ppt",32.9
"1957-07-02","Station A 7, USFWS 1954-57","sal","ppt",33.9
"1957-07-09","Station A 7, USFWS 1954-57","sal","ppt",34.4
"1957-07-09","Station A 17, USFWS 1954-57","sal","ppt",31.6
"1957-07-09","Station A 24, USFWS 1957-59","sal","ppt",32.9
"1957-07-17","Station A 7, USFWS 1954-57","sal","ppt",33.3
"1957-07-17","Station A 17, USFWS 1954-57","sal","ppt",31.8
"1957-07-17","Station A 24, USFWS 1957-59","sal","ppt",33.9
"1957-07-26","Station A 7, USFWS 1954-57","sal","ppt",34
"1957-07-26","Station A 17, USFWS 1954-57","sal","ppt",30.9
"1957-08-01","Station A 17, USFWS 1954-57","sal","ppt",32.3
"1957-08-01","Station A 24, USFWS 1957-59","sal","ppt",33.9
"1957-08-12","Station A 17, USFWS 1954-57","sal","ppt",28.5
"1957-08-12","Station A 7, USFWS 1954-57","sal","ppt",32.5
"1957-08-12","Station A 24, USFWS 1957-59","sal","ppt",25.3
"1957-08-20","Station A 7, USFWS 1954-57","sal","ppt",33.6
"1957-08-20","Station A 17, USFWS 1954-57","sal","ppt",30.7
"1957-08-20","Station A 24, USFWS 1957-59","sal","ppt",32
"1957-08-26","Station A 7, USFWS 1954-57","sal","ppt",33.2
"1957-08-26","Station A 17, USFWS 1954-57","sal","ppt",28.2
"1957-08-26","Station A 24, USFWS 1957-59","sal","ppt",29.1
"1957-09-03","Station A 17, USFWS 1954-57","sal","ppt",26.9
"1957-09-03","Station A 24, USFWS 1957-59","sal","ppt",30.8
"1957-09-03","Station A 7, USFWS 1954-57","sal","ppt",30.7
"1957-09-05","Station A 7, USFWS 1954-57","sal","ppt",31.8
"1957-09-05","Station A 7, USFWS 1954-57","sal","ppt",31.7
"1957-09-10","Station A 17, USFWS 1954-57","sal","ppt",29.1
"1957-09-10","Station A 24, USFWS 1957-59","sal","ppt",33.2
"1957-09-10","Station A 7, USFWS 1954-57","sal","ppt",30.9
"1957-09-16","Station A 24, USFWS 1957-59","sal","ppt",32.5
"1957-09-16","Station A 17, USFWS 1954-57","sal","ppt",26.1
"1957-09-16","Station A 7, USFWS 1954-57","sal","ppt",30.3
"1957-09-18","Station A 7, USFWS 1954-57","sal","ppt",30.4
"1957-09-18","Station A 7, USFWS 1954-57","sal","ppt",30.3
"1957-09-23","Station A 24, USFWS 1957-59","sal","ppt",30.5
"1957-09-23","Station A 17, USFWS 1954-57","sal","ppt",28.7
"1957-09-29","Station A 7, USFWS 1954-57","sal","ppt",32.6
"1957-10-15","Station A 17, USFWS 1954-57","sal","ppt",25.9
"1957-10-15","Johns Pass, 0.125 mi NE of bridge","sal","ppt",32
"1957-10-15","Johns Pass, 0.125 mi NE of bridge","sal","ppt",32
"1957-10-15","Bonnie Eldred Dock","sal","ppt",32
"1957-10-15","Johns Pass, 0.125 mi NE of bridge","sal","ppt",32
"1957-10-15","Station A 24, USFWS 1957-59","sal","ppt",25.8
"1957-10-15","Station A 7, USFWS 1954-57","sal","ppt",31.6
"1957-10-15","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.5
"1957-10-15","Bonnie Eldred Dock","sal","ppt",34
"1957-10-15","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.5
"1957-10-15","Johns Pass, 0.125 mi NE of bridge","sal","ppt",25.3
"1957-10-16","Bonnie Eldred Dock","sal","ppt",33.5
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.5
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.5
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.9
"1957-10-16","Bonnie Eldred Dock","sal","ppt",31.9
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",31.9
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",32
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",34.4
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.2
"1957-10-16","Bonnie Eldred Dock","sal","ppt",33.2
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",31.9
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",34.4
"1957-10-16","Bonnie Eldred Dock","sal","ppt",33.8
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",34.2
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.9
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",34
"1957-10-16","Bonnie Eldred Dock","sal","ppt",33.5
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",34
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",34
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.2
"1957-10-16","Bonnie Eldred Dock","sal","ppt",32.1
